fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01093,01057,56,123,1529
01093,01059,55,144,1522
01093,01125,29,47,938
01093,01075,27,60,628
01093,01127,26,52,833
01093,01073,21,39,956
01093,28081,14,26,424
01095,01049,268,740,6681
01095,01089,264,514,10988
01095,01055,250,548,7835
01095,01043,104,253,2848
01095,01009,92,222,2597
01095,01103,88,222,2187
01095,01073,60,125,2212
01095,01071,58,134,1466
01095,01117,37,83,1480
01095,01083,31,75,763
01095,01015,26,50,494
01095,01003,22,62,871
01095,01115,16,30,753
01095,12033,15,20,766
01095,47093,15,58,366
01095,17143,13,59,512
01095,01097,12,29,497
01095,01125,12,26,231
01095,01081,11,14,242
01095,28035,11,48,418
01095,47065,11,26,381
01095,48113,11,30,447
01095,12021,10,25,135
01095,47037,10,13,376
01097,01003,955,1883,46122
01097,28059,271,639,9985
01097,01073,233,405,8964
01097,48201,143,303,5845
01097,01129,125,302,3853
01097,12033,116,220,4255
01097,01101,107,195,3003
01097,13121,102,170,3317
01097,28047,101,195,2882
01097,13089,69,118,1830
01097,01089,65,135,2578
01097,12057,65,87,89
01097,12086,64,85,1638
01097,28039,64,147,1924
01097,01125,63,102,2418
01097,01117,58,110,2627
01097,22071,53,83,2010
01097,01025,52,119,1656
01097,01081,48,70,1620
01097,12031,47,90,1314
01097,13135,47,104,1293
01097,48113,47,83,1701
01097,13215,46,68,1057
01097,22051,43,107,1539
01097,22103,42,90,1951
01097,48029,42,77,931
01097,13067,41,84,1096
01097,06037,40,55,1581
01097,01053,38,83,1327
01097,12091,36,88,1177
01097,12113,36,81,1224
01097,12011,34,53,1498
01097,13063,34,57,579
01097,01069,33,49,998
01097,06073,33,57,1181
01097,12103,33,64,1241
01097,22033,33,56,1312
01097,04013,32,54,697
01097,12005,29,68,732
01097,17031,29,36,782
01097,47037,29,42,1119
01097,53033,28,54,1056
01097,12073,27,42,811
01097,12095,27,49,840
01097,26163,27,53,593
01097,32003,27,33,1038
01097,28041,26,60,969
01097,12099,25,46,1271
01097,47157,24,47,852
01097,48453,24,29,649
01097,01099,23,43,524
01097,28121,22,36,970
01097,48439,22,44,573
01097,01047,21,39,969
01097,28035,21,41,490
01097,01051,20,33,599
