fromCountyFIPSid,toCountyFIPSid,countTaxReturns,countTaxExemptions,sumAdjustedGrossIncome1000s
01081,01015,12,16,302
01081,01115,12,25,562
01081,37133,12,24,303
01081,48029,12,21,681
01081,53033,12,21,935
01081,12105,11,20,350
01081,13245,11,18,249
01081,17031,11,22,253
01081,48439,11,34,671
01081,01077,10,29,572
01081,12086,10,14,291
01081,13057,10,21,2142
01081,45045,10,22,590
01081,47093,10,18,858
01081,47125,10,21,487
01083,01089,672,1451,34262
01083,01103,132,295,4545
01083,01077,71,144,3158
01083,47055,62,152,2328
01083,01073,35,70,1420
01083,47037,26,42,809
01083,47103,24,54,1132
01083,01033,18,40,569
01083,01095,18,46,715
01083,01079,17,37,670
01083,01003,13,30,598
01083,47099,12,29,448
01083,48201,12,19,1891
01083,01043,10,23,1090
01083,01097,10,15,311
01083,01117,10,22,404
01085,01101,170,391,4766
01085,01013,31,89,860
01085,01047,19,46,553
01085,01051,17,45,470
01085,01001,10,21,210
01087,01081,160,343,3747
01087,01101,75,160,2041
01087,01051,35,81,889
01087,01123,26,53,788
01087,01073,15,25,251
01087,01011,13,25,243
01087,01113,13,25,290
01087,13089,11,18,184
01087,13121,10,17,324
01087,13215,10,11,157
01089,01083,1007,2222,59401
01089,01103,454,1157,33444
01089,01073,282,449,9563
01089,01095,225,452,10425
01089,47103,179,398,11446
01089,47037,140,219,5516
01089,01071,97,208,4199
01089,01077,91,160,5692
01089,13121,84,140,4160
01089,01043,82,143,2765
01089,01117,71,118,4225
01089,01003,67,132,4005
01089,01081,65,101,2326
01089,48201,59,104,2613
01089,01101,55,95,2367
01089,01125,55,89,1459
01089,13067,50,103,3234
01089,13089,50,75,2127
01089,01097,49,92,1170
01089,08041,48,94,2916
01089,12095,46,86,1937
01089,12011,43,67,2051
01089,12057,43,88,2780
01089,48029,43,72,2190
01089,06037,41,66,2096
01089,01015,40,64,1435
01089,47065,40,87,2417
01089,51059,40,92,3754
01089,47055,39,94,1709
01089,13135,37,74,1518
01089,47149,37,72,1708
01089,48453,37,71,1382
01089,01079,36,80,1503
01089,17031,36,67,2060
01089,47157,35,51,1177
01089,06073,34,63,1593
01089,48113,34,55,1913
01089,12091,33,69,1829
01089,47187,33,56,2152
01089,04013,32,47,1735
01089,12031,32,66,1705
01089,12033,32,66,1282
01089,47051,32,73,1432
01089,47093,32,62,1858
01089,48439,31,68,1845
01089,01055,30,52,640
01089,01049,29,50,913
01089,01121,29,47,780
01089,13215,29,47,1335
01089,47125,29,53,1293
01089,53033,29,53,1159
01089,11001,27,40,1116
01089,12009,27,51,2182
01089,12086,26,41,811
01089,12099,25,45,1273
01089,37119,25,51,1174
01089,01033,24,42,866
01089,12005,23,44,1277
01089,12103,23,42,1349
01089,26163,23,51,910
01089,39035,22,31,745
01089,12071,21,38,937
01089,15003,21,53,1420
01089,24033,21,43,1054
01089,36047,21,33,814
01089,39049,21,42,1208
01089,29189,20,33,999
01089,06085,19,36,1212
01089,22051,19,40,667
01089,37051,19,32,869
01089,12117,18,37,805
01089,37183,18,50,1555
01089,47031,18,34,720
01089,47119,18,41,512
01089,01059,17,55,396
01089,06059,17,30,991
01089,12105,17,33,461
01089,21111,17,30,1263
01089,29183,17,45,2195
01089,01031,16,35,724
01089,01113,16,27,454
01089,01115,16,23,383
01089,13051,16,32,791
01089,22033,16,23,616
01089,26125,16,29,1066
01089,45019,16,33,824
01089,01051,15,22,567
01089,01133,15,39,1070
01089,06071,15,25,544
01089,12113,15,32,949
01089,18097,15,22,529
01089,45045,15,29,789
01089,47165,15,29,718
01089,48157,15,45,916
01089,01069,14,30,1114
01089,12019,14,27,886
01089,13097,14,26,396
01089,24003,14,31,733
01089,28047,14,34,875
01089,32003,14,26,643
01089,37133,14,21,340
01089,48027,14,31,400
01089,01009,13,27,300
01089,01045,13,33,725
01089,06001,13,25,993
01089,22071,13,20,440
01089,45079,13,33,831
01089,51013,13,22,1343
01089,53053,13,26,595
01089,13063,12,27,298
01089,24027,12,25,1289
01089,25017,12,23,838
01089,36061,12,14,695
01089,47117,12,23,412
01089,48121,12,30,894
01089,48141,12,23,520
01089,51153,12,21,756
01089,53061,12,24,743
01089,04019,11,15,510
01089,06065,11,20,272
01089,24031,11,29,721
01089,42101,11,16,829
01089,48491,11,18,762
01089,51510,11,19,512
01089,08005,10,21,748
01089,13139,10,21,413
01089,22103,10,25,1033
01089,36081,10,16,168
01089,40109,10,25,553
01089,47113,10,18,527
01089,48085,10,20,542
01091,01125,57,129,1744
01091,01025,27,60,628
01091,01063,26,62,1017
01091,01065,26,69,1018
01091,01097,18,42,429
01091,01073,17,35,391
01091,01105,15,42,380
01091,01119,14,27,391
01091,01131,14,35,622
01091,01117,12,19,430
01091,01089,11,22,255
01093,01057,76,165,2387
01093,01133,76,152,1740
01093,01059,55,134,1276
01093,01075,45,96,1295
01093,01127,28,65,796
01093,01077,26,55,1142
01093,01125,24,49,1319
01093,01073,19,34,296
01093,01033,17,45,640
01093,28081,15,28,529
01093,01089,14,31,331
01095,01055,278,674,7676
01095,01049,258,728,6761
01095,01089,252,508,12468
01095,01043,123,287,3150
01095,01103,98,266,3110
01095,01009,92,219,2579
01095,01071,85,201,2565
01095,01073,59,120,1803
01095,01003,24,46,1052
01095,01117,18,32,549
01095,01083,17,35,636
01095,01015,16,33,372
01095,01125,16,29,452
01095,01115,15,31,418
01095,01081,14,19,581
01095,01097,13,35,345
01095,48201,12,19,265
01095,01019,11,27,251
01095,01031,11,42,305
01095,47037,11,16,346
01097,01003,965,1919,57679
01097,28059,246,547,10495
01097,01073,210,407,9096
01097,12033,126,215,4711
01097,48201,123,277,5921
01097,01129,115,277,3644
01097,28047,101,196,3474
01097,13121,82,144,3304
01097,01101,74,116,2588
01097,01025,70,147,2130
01097,01117,64,119,2852
01097,01089,62,119,2250
01097,22033,61,103,2323
01097,28039,55,124,2507
01097,04013,53,74,1339
01097,13089,53,107,1363
01097,48453,52,82,1809
01097,13067,51,93,1787
01097,22071,51,85,2432
01097,01125,50,89,-4816
01097,12091,49,103,2644
01097,47037,48,71,2338
01097,48113,46,98,1835
01097,12031,45,96,1989
01097,06037,43,65,2265
01097,12113,40,74,1709
01097,06073,39,70,1193
01097,22051,39,69,1342
01097,01081,37,67,1088
01097,13135,37,81,1179
01097,12057,36,59,1232
01097,01053,34,82,1417
01097,12086,34,58,937
01097,12011,32,65,1501
01097,22103,31,70,1531
01097,12005,30,65,1400
01097,48439,30,72,1266
01097,01099,27,61,799
01097,28041,27,49,695
01097,13215,26,44,1079
01097,48029,25,56,1066
01097,12095,24,44,598
01097,01015,23,40,503
01097,36061,23,34,839
01097,12073,22,32,776
01097,06013,21,61,4200
01097,28121,21,39,815
01097,47157,21,40,965
01097,01069,20,34,528
01097,37051,20,39,631
01097,47065,20,35,773
01097,12103,19,36,845
01097,28035,19,34,811
01097,01001,18,39,789
01097,01051,18,39,736
01097,13063,18,48,637
01097,32003,18,41,570
01097,01023,17,39,633
01097,01091,17,49,725
01097,12009,17,26,874
01097,12131,17,31,785
01097,17031,17,27,451
01097,26163,17,39,324
01097,36047,17,27,484
01097,12099,16,31,3088
01097,53053,16,31,490
01097,13051,15,34,600
01097,37119,15,26,564
01097,48157,15,30,1075
01097,48339,15,33,1083
01097,01103,14,34,314
01097,01131,14,27,427
01097,37183,14,24,731
01097,47149,14,22,276
01097,48085,14,25,404
01097,48121,14,28,509
01097,51059,14,33,845
01097,01109,13,21,139
01097,05119,13,23,562
